|------
|ΑΜΚΑ|Επώνυμο|Όνομα|Εφημερία Φέτος|Πλήθος Επεμβάσεων
|------
|17251355215|Αρσενάκη|Παντελία|ΟΧΙ|4
|71657262849|Βαλτάς|Μεθόδιος|ΟΧΙ|0
|78519108839|Βασιλείου|Βλάσιος|ΟΧΙ|0
|33036541458|Γάτος|Βαρδής|ΟΧΙ|3
|59375265479|Γεωργακόπουλος|Ξενοφών|ΟΧΙ|6
|18518888806|Γεωργακοπούλου|Οδύσσεια|ΟΧΙ|0
|13054868740|Γιαννέλος|Στυλιανή|ΟΧΙ|1
|20672400499|Γραμματικόπουλος|Κλεομένης|ΟΧΙ|7
|14345581223|Γρηγοριάδης|Νεφέλη|ΟΧΙ|0
|80443699577|Δημτσούδη|Πολύβιος|ΟΧΙ|2
|12053950240|Καλαμαράκης|Αδαμάντιος|ΟΧΙ|3
|83171210032|Καμπάκας|Ζαμπία|ΟΧΙ|2
|40659657569|Καραμάνη|Ευτέρπη|ΟΧΙ|4
|33529042284|Καραμάνη|Τιμολέων|ΟΧΙ|0
|13990490278|Καργάκου|Εύκλεια|ΟΧΙ|0
|89113529096|Καστάνης|Φλοριάντ|ΟΧΙ|2
|69033119079|Κατάκης|Αννίκα|ΟΧΙ|2
|27532697311|Κουταλιός|Παρασκευάς|ΟΧΙ|4
|38299737631|Κουταλιός|Φλωρίνα|ΟΧΙ|3
|32424154152|Λάκκας|Ακρίτας|ΟΧΙ|5
|96705466889|Λιολιοπούλου|Ιπποκράτης|ΟΧΙ|3
|12838578652|Μαλλή|Ταξιαρχία|ΟΧΙ|3
|89980940244|Μαρουγιάννη|Ελένη|ΟΧΙ|3
|90147679764|Μαυροειδάκος|Βαλεντίνα|ΟΧΙ|8
|44948126042|Μητροπούλου|Χρυσή|ΟΧΙ|4
|74205493296|Μόκας|Πελαγία|ΟΧΙ|3
|83136783777|Μπαλαμπάνη|Λουκάς|ΟΧΙ|4
|26542351161|Μπαλουκίδης|Νεοκλής|ΟΧΙ|3
|51994101372|Μπονέλη|Αμφιθέα|ΟΧΙ|4
|58692322602|Μποτζιώρη|Ήρα|ΟΧΙ|1
|35978207151|Ντότση|Μελέτιος|ΟΧΙ|3
|42353693785|Ξανθάκης|Βαλεντίνος|ΟΧΙ|6
|13568044206|Παπακωνσταντίνου|Βικτόρια|ΟΧΙ|1
|75254599102|Παπακώστα|Θεανώ|ΟΧΙ|2
|31727889579|Πατελής|Παρασκευή|ΟΧΙ|2
|70213556909|Πέππας|Δομήνικος|ΟΧΙ|3
|38908386379|Πικούνης|Ακρίτας|ΟΧΙ|4
|73741672434|Πιπερίγκος|Βαλεντίνα|ΟΧΙ|4
|24278680112|Ριζούλης|Ισιδώρα|ΟΧΙ|5
|64651939828|Σακκή|Γιώργος|ΟΧΙ|0
|68117758917|Σιώμος|Ίρις|ΟΧΙ|4
|16738302843|Σκαφτούρου|Παρθένα|ΟΧΙ|0
|15969664160|Σπαθάρη|Παρθένα|ΟΧΙ|0
|42102499471|Τσούμος|Απολλωνία|ΟΧΙ|3
|76767721903|Τσώτσης|Σταμάτιος|ΟΧΙ|0
|31003309232|Φαββάτα|Μυρτώ|ΟΧΙ|5
|53368844431|Χαρτερός|Παναγιώτα|ΟΧΙ|5
