|------
|ΑΜΚΑ|Επώνυμο|Όνομα|Τμήμα|Πλήθος Νοσηλειών|Συνολικό Κόστος
|------
|10672453076|Καφίρης|Διογένης|ΕΝΔΟΚΡΙΝΟΛΟΓΙΚΗ|5|20825.45
|11750961701|Πετράκη|Βησσαρίων|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|5|15776.65
|12710267672|Χατζηβλασίου|Αριάδνη|ΚΑΡΔΙΟΛΟΓΙΚΗ|4|11769.60
|22182315551|Σκρέκας|Ανδρέας|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|4|12601.85
|26042359737|Κολαΐτου|Οδυσσεύς|ΝΕΥΡΟΛΟΓΙΚΗ|4|8786.82
|26949684364|Τζιόρτζιος|Κρυσταλλένια|ΤΕΠ(ΤΜΗΜΑ ΕΠΕΙΓΟΝΤΩΝ ΠΕΡΙΣΤΑΤΙΚΩΝ)|5|18331.02
|28137214330|Ευαγγελινός|Περσεφόνη|ΚΑΡΔΙΟΛΟΓΙΚΗ|4|12121.96
|29236161880|Κουτεντάκης|Τατιάνα|ΟΡΘΟΠΕΔΙΚΗ|4|12357.05
|44171581021|Κολαΐτου|Ρίζος|ΠΑΘΟΛΟΓΙΚΗ|4|5579.40
|48586239453|Τζαλλας|Λαοκράτης|ΟΡΘΟΠΕΔΙΚΗ|4|15560.65
|48586239453|Τζαλλας|Λαοκράτης|ΠΑΘΟΛΟΓΙΚΗ|5|18403.17
|59833991403|Κοντογιάννη|Ανθή|ΚΑΡΔΙΟΛΟΓΙΚΗ|6|13609.58
|76342507330|Κυριακοπούλου|Ιωσηφίνα|ΧΕΙΡΟΥΡΓΙΚΗ Α|5|17229.83
|78255882556|Εμμανουήλ|Κλυταιμνήστρα|ΟΓΚΟΛΟΓΙΚΗ|4|13529.28
|90339705195|Γκαλίου|Όθων|ΟΦΘΑΛΜΟΛΟΓΙΚΗ|4|11394.41
|93379705816|Φασουλή|Μελέτιος|ΝΕΥΡΟΛΟΓΙΚΗ|4|11121.75
