|------
|ΑΜΚΑ Ιατρού|Επώνυμο|Όνομα|Ηλικία|Πλήθος Επεμβάσεων
|------
|29671756551|Γαρουφαλής|Γιάννης|31|7
|20672400499|Γραμματικόπουλος|Κλεομένης|33|7
|85289226801|Ζορμπάς|Ιππολύτη|31|6
|30316179904|Σύψα|Αιμιλιανός|32|6
|90847007661|Γιαπατζής|Νίκος|26|6
|14054115262|Καρατζίκος|Ιφιγένεια|30|6
|42701039308|Σύκας|Παναγιώτα|27|5
|16873395004|Αγγελάκος|Αλεξάνδρα|26|5
|16089899217|Γεροκώστα|Λουδοβίκος|28|4
|25953278774|Κούτρης|Ασκληπιός|33|4
|99309728962|Μιχαηλίδης|Σαράντης|28|4
|59640165820|Τζεβελέκος|Στεφανία|31|4
|85574443135|Στεφάνου|Λουκιανός|33|4
|10324171467|Μπαλτατζή|Μαρία|28|4
|93806868793|Ρέντας|Στέλλιος|34|4
|38721489513|Τυμβίου|Μηλιά|31|4
|94705516940|Λιόλιος|Θεόπιστος|27|4
|59325250029|Σολακούδης|Μαρκέλλα|28|3
|43315410067|Αναστασίου|Τρύφων|31|3
|62299911914|Ζαρειφοπούλου|Τηλέμαχος|33|3
|43410369711|Λουλάκης|Αρτεμισία|33|3
|64887719065|Καψάλης|Μαγδαληνός|29|3
|27315851493|Σύψα|Ευσέβιος|25|3
|85079252419|Πλακωτάρης|Βαρδής|26|3
|44736471027|Αργυράκη|Ιερόθεος|26|3
|65328710122|Μυλωνάς|Μίνωας|32|3
|47436713695|Διακουμή|Θησεύς|33|3
|89980940244|Μαρουγιάννη|Ελένη|32|3
|12838578652|Μαλλή|Ταξιαρχία|26|3
|35978207151|Ντότση|Μελέτιος|31|3
|74801624565|Παργανάς|Ανδριανή|26|3
|15430391171|Μανουσοπούλου|Ροδιά|27|3
|83171210032|Καμπάκας|Ζαμπία|30|2
|26838851606|Αθανασιάδου|Σωκράτης|32|2
|84677378263|Χατζηγρηγοράκης|Αμφιθέα|26|2
|18636374545|Κουτσουλής|Μιχαήλ|30|2
|29662782827|Γεροκώστα|Θεοτόκης|33|2
|19379660334|Φιδάνη|Βενέτιος|32|2
|86790874064|Κουφάκη|Καρυοφυλλιά|30|2
|20377889255|Ακαλίδης|Μακάριος|26|2
|71159212499|Μπαλαμπάνη|Νίκων|27|2
|51612275304|Καράνης|Αρετή|33|2
|73592555625|Καμπούρη|Εριέτα|34|2
|36576615654|Καραγρηγορίου|Συμεώνη|32|2
|58549733484|Σολακούδης|Αυγέρης|30|2
|78755886753|Παλαιολόγος|Θεμιστόκλεια|27|2
|82710910430|Δρυμαλίτου|Λάμπρος|33|1
|16697848018|Παπαγεωργίου|Ευτέρπη|33|1
|26137506068|Μπαφέρα|Εφραίμ|31|1
|18932460953|Ζιώγος|Γρηγόριος|26|1
|44905814770|Αποστολίδης|Φωκάς|31|1
|19374529912|Μουσελίμης|Καλή|28|1
|68633752431|Παργανάς|Νίκανδρος|29|1
|69453147379|Αλυσανδράτου|Σώζων|28|1
|11254573875|Χονδρούδη|Ισαβέλλα|34|1
|51585064317|Λαλαούνη|Θεόκλεια|31|1
|34540193802|Δινεζάκης|Εύα|28|1
|53244720999|Χριστογιάννη|Απόλλων|33|1
|21465840449|Ζερβά|Λασκαρίνα|25|1
|23806174451|Λογοθέτη|Πηγή|26|1
