|------
|ΑΜΚΑ|ΕΠΩΝΥΜΟ|ΟΝΟΜΑ|Ειδικότητα
|------
|46119524364|Αγγελής|Λασκαρίνα|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|76475011117|Ανανιάδου|Ελισάβετ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|50812473950|Ανδρεανίδης|Ανθούλα|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|79786305050|Ανδριώτης|Τιμολέων|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|62934497347|Αποστολίδης|Λαυρεντία|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|19124186210|Αρματά|Μαρία|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|75230837081|Βανδώρος|Πολύκαρπος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|13248413768|Βασιλείου|Θεώνη|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|86567566184|Βούκας|Μαντώ|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|25999966361|Βώσσος|Ηρόδοτος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|88967924082|Γερούκη|Λουλουδένια|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|63013674926|Γκίκας|Ανάργυρος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|97683890309|Γκίκας|Έλλη|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|99156686334|Γκικόπουλος|Υακίνθη|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|97585988310|Γκούβελος|Θεοτόκης|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|10857666567|Γραμματικόπουλος|Λαυρέντιος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|60053131220|Γρίβα|Μένανδρος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|89813129208|Γρίβα|Σεβαστιανή|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|11159319525|Δάφνη|Ελέσσα|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|19548149737|Δημητριάδου|Δομήνικος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|38743027169|Διακουμή|Αναστασία|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|41026153473|Διοπούλου|Ευδόξιος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|10293218401|Δουβίκας|Βασίλης|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|93375636205|Ευαγγελινός|Αγαθή|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|40355338033|Ευταξιάς|Γλυκερία|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|28456797232|Ζιάρα|Ελισσαίος|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|15520650637|Ζούνης|Ίρις|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|49690333736|Ιωσηφίδης|Αηδόνα|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
|56434712871|Καλαργυρός|Θέτις|ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
