|------
|Έτος|Συνολικές Ημέρες Νοσηλείας|Πλήθος Ασθενών|ΑΜΚΑ Ασθενών
|------
|2025|73|2|28137214330, 48586239453
|2025|62|2|43240061572, 14254969192
|2025|54|2|34369709317, 32285566084
|2025|53|2|63766046558, 75757475833
|2025|49|3|76342507330, 22182315551, 73107201137
|2025|48|3|16330165837, 17563353574, 74397429250
|2025|39|3|29618033242, 38676738209, 17280123428
|2025|37|3|29236161880, 29803657744, 66007676209
|2025|36|2|12000245393, 26949684364
|2025|34|3|21988192778, 15586863956, 80656259045
|2025|33|2|10672453076, 16235040566
|2025|31|2|59709962543, 73264309544
|2025|30|4|91891179720, 92105336514, 38823255398, 72742049561
|2025|29|3|12908718274, 97662705115, 17550476816
|2025|28|3|78967935219, 76832102192, 13359101570
|2025|25|5|10591297519, 15848266913, 29271205397, 76072348389, 83152291073
|2025|24|4|44171581021, 33351040961, 80205869507, 88975358523
|2025|23|3|93940655782, 29745493036, 11783325848
|2025|22|7|14056129965, 39438040325, 78599648628, 31167726960, 20749269996, 89464203625, 36268943012
|2025|21|2|36999516793, 84802205093
|2025|20|4|23642813190, 84091122528, 22586605986, 14983074820
|2025|18|10|16906181205, 92508177602, 95613371844, 17955151229, 27789431910, 61786880023, 45057661945, 77822102179, 84401348087, 90326714949
|2025|17|5|33774604067, 61645345472, 63439252959, 63203747677, 78769899927
|2025|16|2|93744039464, 34476504715
|2024|54|2|48586239453, 74811317653
|2024|37|2|14337009687, 34476504715
|2024|36|2|17955151229, 95275367497
|2024|33|2|31832812312, 75608581670
|2024|32|2|15586863956, 91891179720
|2024|31|3|76342507330, 32285566084, 61645345472
|2024|30|2|63203747677, 49598811457
|2024|28|2|46004521289, 14056129965
|2024|27|3|26042359737, 84401348087, 98632106133
|2024|25|4|29618033242, 43240061572, 76832102192, 44498355393
|2024|24|3|21751887817, 82178192365, 78967935219
|2024|23|6|16560945653, 34369709317, 65619425577, 78769899927, 45057661945, 65742231964
|2024|22|4|80656259045, 66007676209, 31234266980, 44171581021
|2024|21|3|12908718274, 53372201091, 78255882556
|2024|20|5|17550476816, 42960807063, 85485965594, 80425373377, 96664505730
|2024|19|5|10591297519, 22182315551, 29236161880, 95201491189, 63439252959
|2024|18|2|76829968722, 18953263890
|2024|17|6|95613371844, 11750961701, 90339705195, 17280123428, 23642813190, 39438040325
|2024|16|4|79848704506, 89464203625, 59833991403, 21988192778
|2023|27|3|30557083682, 10672453076, 92105336514
|2023|23|2|22577545847, 96664505730
|2023|21|2|17280123428, 78255882556
|2023|19|3|75757475833, 84401348087, 43240061572
|2023|18|2|65619425577, 27789431910
|2022|33|2|75608581670, 98632106133
|2022|23|2|14337009687, 34476504715
|2022|22|4|26042359737, 59545089177, 12908718274, 76832102192
|2022|19|3|14254969192, 59833991403, 22577545847
|2022|18|2|66007676209, 78255882556
|2022|17|2|72742049561, 16906181205
|2021|29|2|72742049561, 43240061572
|2021|24|2|74397429250, 64625540263
|2021|22|3|59545089177, 90339705195, 92105336514
|2021|20|2|33372188566, 61863239791
|2021|18|2|97363831828, 33774604067
|2021|17|3|49598811457, 15586863956, 66007676209
