|------
|ΑΜΚΑ Ιατρού|Επώνυμο|Όνομα|Φετινές Επεμβάσεις
|------
|74349021158|Αβαγιανός|Ιουλία|1
|82337498941|Αβραμπέκη|Ευρυδίκη|0
|76870146263|Αγαλιώτης|Βικτόρια|1
|16873395004|Αγγελάκος|Αλεξάνδρα|1
|66179796886|Αγγελίκας|Απόλλων|0
|12027588425|Αθανασιάδη|Κυπριανός|1
|26838851606|Αθανασιάδου|Σωκράτης|1
|30103105183|Αθανασόπουλος|Πολύβιος|1
|20377889255|Ακαλίδης|Μακάριος|0
|63536541951|Αλεξανδράκη|Εύκλεια|0
|37147321046|Αλυσανδράτου|Λυκούργος|0
|69453147379|Αλυσανδράτου|Σώζων|0
|63605766270|Αμυγδαλάκης|Ισμήνη|0
|43315410067|Αναστασίου|Τρύφων|1
|11544796275|Αναστασίου|Αυγέρης|0
|49818299229|Ανδρικόπουλος|Θεώνη|1
|44905814770|Αποστολίδης|Φωκάς|1
|41862565270|Αραπίδου|Σοφοκλής|0
|44736471027|Αργυράκη|Ιερόθεος|1
|17251355215|Αρσενάκη|Παντελία|1
|53494937597|Αφρουδάκης|Φανούριος|0
|70051627136|Βαβάση|Χρυσοβαλάντου|1
|83503056413|Βαλτάς|Βαλέρια|0
|71657262849|Βαλτάς|Μεθόδιος|0
|78519108839|Βασιλείου|Βλάσιος|0
|65719182619|Βιλδός|Παντελεήμων|0
|43898364037|Βιολάτος|Αλκμήνη|0
|13482477109|Βλάσση|Πηνελόπη|0
|47312172715|Βλάσση|Ηρόδοτος|0
|65667010651|Βλαχοδήμου|Ρεγγίνα|1
|21655852398|Βλάχου|Πύρρος|0
|25790507236|Βορλόκας|Ευριπίδης|0
|65405153195|Βοσινάκη|Όθων|0
|33036541458|Γάτος|Βαρδής|1
|43757584419|Γεροδήμος|Ασημάκης|0
|29662782827|Γεροκώστα|Θεοτόκης|1
|59375265479|Γεωργακόπουλος|Ξενοφών|1
|18518888806|Γεωργακοπούλου|Οδύσσεια|0
|40748217594|Γιαννακουδάκη|Σάββας|0
|91905865185|Γιαννακουδάκης|Χάρη|0
|13054868740|Γιαννέλος|Στυλιανή|0
|11657120826|Γιαννούκος|Θησεύς|1
|48086131712|Γκικόπουλος|Λασκαρίνα|0
|99799552717|Γκιολδελής|Μαυροειδής|0
|97516136968|Γκιριτζιώνη|Αθηνά|1
|10623120387|Γκιριτζιώνη|Θησεύς|0
|17527354549|Γκούσκος|Πασχάλης|0
|56798250714|Γραμμένου|Ιάκωβος|1
|95590599293|Γρεβενάρης|Βερονίκη|0
|14345581223|Γρηγοριάδης|Νεφέλη|0
|46799702462|Γρηγορίου|Γαλάτεια|1
