Επώνυμο Ιατρού|Όνομα Ιατρού|Βαθμίδα|Επίπεδο Εποπτείας|Επώνυμο Επόπτη|Όνομα Επόπτη|Βαθμίδα Επόπτη
Αβαγιανός|Ιουλία|ΕΠΙΜΕΛΗΤΗΣ Β|1|Σταμέλου|Παταπία|ΕΠΙΜΕΛΗΤΗΣ Α
Αβαγιανός|Ιουλία|ΕΠΙΜΕΛΗΤΗΣ Β|2|Σπυριδάκη|Αριστοτέλης|ΔΙΕΥΘΥΝΤΗΣ
Αγγελίκας|Απόλλων|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Μαλλή|Ταξιαρχία|ΕΠΙΜΕΛΗΤΗΣ Α
Αθανασιάδη|Κυπριανός|ΕΠΙΜΕΛΗΤΗΣ Β|1|Ανδρικόπουλος|Θεώνη|ΕΠΙΜΕΛΗΤΗΣ Α
Αθανασόπουλος|Πολύβιος|ΕΠΙΜΕΛΗΤΗΣ Α|1|Σπυριδάκη|Αριστοτέλης|ΔΙΕΥΘΥΝΤΗΣ
Αλυσανδράτου|Λυκούργος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Κουταλιός|Παρασκευάς|ΕΠΙΜΕΛΗΤΗΣ Α
Αναστασίου|Αυγέρης|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Σταυρίδου|Λυδία|ΕΠΙΜΕΛΗΤΗΣ Β
Αποστολίδης|Φωκάς|ΕΠΙΜΕΛΗΤΗΣ Α|1|Τζεβελέκος|Στεφανία|ΔΙΕΥΘΥΝΤΗΣ
Αραπίδου|Σοφοκλής|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Αργυράκη|Ιερόθεος|ΕΠΙΜΕΛΗΤΗΣ Α
Αφρουδάκης|Φανούριος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Σύκας|Παναγιώτα|ΕΠΙΜΕΛΗΤΗΣ Α
Βαβάση|Χρυσοβαλάντου|ΕΠΙΜΕΛΗΤΗΣ Α|1|Λογοθέτη|Πηγή|ΔΙΕΥΘΥΝΤΗΣ
Βασιλείου|Βλάσιος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Σταμέλου|Παταπία|ΕΠΙΜΕΛΗΤΗΣ Α
Βασιλείου|Βλάσιος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|2|Σπυριδάκη|Αριστοτέλης|ΔΙΕΥΘΥΝΤΗΣ
Βλάσση|Ηρόδοτος|ΕΙΔΙΚΕΥΟΜΕΝΟΣ|1|Βλάχου|Πύρρος|ΕΠΙΜΕΛΗΤΗΣ Α
